('000019c5-d0e2-4f15-bd0c-8375a48698e5'	'_KeRaMiS_'	'46.109.172.49')
('a6a0cf5c-e223-4a57-8f55-cdfb18d501d9'	'byInPeace'	'73.223.20.236')
('a6a10549-e18a-4643-b057-acf7af9cd387'	'crazy_casper'	'94.215.34.144')
('a6a1be8b-51cb-4cf0-a173-ca2b25415eee'	'smoggymedal5'	'209.160.126.183')
('a6a41687-6747-4676-941a-55a6f924db00'	'Identic'	'85.230.26.70')
('a6a630d6-821c-4396-bcdf-0ab19a3737ce'	'Thingishness'	'31.51.58.244')
('a6a830d4-22eb-46cb-8c4e-d4fa96bdcc5e'	'SystemOwner'	'174.116.62.233')
('a6aaaa2f-48e7-4b07-8532-9523f257621f'	'BiggerPenisThanU'	'98.208.134.195')
('a6ab38e3-8fba-4077-a9c8-553373baf186'	'Jading'	'41.235.58.234')
('a6ab3bcc-d11b-4dd4-96cb-74e65ee574a1'	'matthewstern2819'	'172.72.167.241')
('a6ab8968-f5f7-4204-8da1-4f274471f85b'	'SwaggyRapha'	'107.137.177.190')
('a6acbcf3-a5d2-43ac-9a23-94c8656fca42'	'egirlhaley'	'73.112.15.157')
('a6af4a21-ab3a-4c8f-b312-ceff7199fa9e'	'RagePvPGG'	'24.2.49.191')
('a6b142fa-94d9-433f-9f74-9c6f329ada56'	'TheSupreme'	'107.216.141.164')
('a6b3777e-7e94-48c5-a616-858fb0a69914'	'ClutchPearl'	'24.115.217.196')
('a6b51344-ed6b-4597-bcd3-f282c6301931'	'Slyphex'	'181.39.211.45')
('a6b6e965-dc69-49ed-8919-c079e32b4a85'	'CustomsBaby'	'97.103.240.203')
('a6c22176-2da7-481f-a995-bd2b1af60144'	'YiXy_GivesHands'	'97.69.175.120')
('a6c68018-4533-469c-a87e-83ada485eb5d'	'Septical'	'50.68.144.91')
('a6c7979e-4dbc-43d8-8b1c-cea7cf6f70c5'	'IZoomey'	'73.143.166.34')
('a6caf3ac-586b-4fb2-b7aa-56d3acbdd979'	'TyroneToggles'	'73.152.130.12')
('a6cd354d-f504-4109-9723-9eea82edf7a2'	'ZarKeoZ_YT'	'80.250.14.170')
('a6cf750d-74b5-4c01-9f36-edfcf8333ee4'	'minerkid778'	'86.179.181.211')
('a6d33dd5-ec2b-422d-a97a-c842de03af49'	'xCristh_MC'	'200.25.159.15')
('a6d37c8d-457a-4ff9-864e-2904a0a52516'	'CNTower'	'216.165.201.151')
('a6d94c1a-995a-4f29-8118-a42ff575dee6'	'AziQ258'	'85.222.32.33')
('a6dc62ff-6926-470b-a66f-0d3d2c296837'	'PartiallyMagical'	'73.161.78.128')
('a6e2ca64-ea11-4011-b3d9-9733e2a3835e'	'IGetSpankedDaily'	'173.28.113.229')
('a6e3ac36-1974-4135-914c-6ff286e4dfb9'	'RedKing2003'	'181.95.68.113')
('a6e8057f-852f-470a-8d5d-6b37612ba204'	'Scarybullets'	'73.128.98.110')
('a6e83a10-8a53-4e88-bfd4-0d02726eeff3'	'Este2013'	'83.199.203.188')
('a6ea699f-c5c7-4356-8c8d-f1b9120f4c3e'	'Hqckers'	'5.69.232.121')
('a6eb3921-b755-44f1-b028-a0ae67ec85cf'	'ezbot4'	'50.39.106.44')
('a6ede1d0-0267-471b-9bf4-e4fc69435f58'	'peperonikiller'	'68.59.95.211')
('a6eec05c-42fd-4da7-8cf5-cd8e436d63ac'	'Craydel'	'193.188.113.56')
('a6ef0864-fd16-4ebf-a304-4b223a1cb49e'	'Maranda'	'172.101.0.212')
('a6f00dde-c527-458f-946d-2177d63aff35'	'ItzRicks_'	'77.166.16.135')
('a6f134d6-7cda-41db-ad80-5d4cf81d4dea'	'OutSideUrWindow'	'184.155.168.36')
('a6f1f504-de7a-45fb-a302-8c5b2878a198'	'VikTorKel'	'104.7.120.221')
('a6f516e8-00af-41e4-8f85-0e623f694f2e'	'TheyAllFall'	'50.187.145.49')
('a6f8295a-c47c-45ab-b3d0-371418b481b9'	'Surrender'	'101.174.128.106')
('a6fa1fea-0bf3-4869-b0b9-cb53dae8a283'	'Aidansurfs'	'99.35.99.165')
('a6fa26b6-7a00-4a59-ae4a-42d16917c368'	'3um'	'98.113.247.119')
('a6fc23d0-11c8-4548-8e23-847ec0e2a428'	'flemmo'	'122.57.208.124')
('a6fdd697-e0bf-4121-bce9-0dc8d63e3261'	'Sweaty_Balls'	'74.57.120.3')
('a6fdffe9-5cc9-4bdf-b17c-cc646e178229'	'Uvl'	'98.113.157.209')
('a6ff6c43-3de3-4007-8b7d-b8518c14fdad'	'Sneaxz'	'24.59.26.1')
('a7016d56-34eb-411b-b071-d5bddbc96c03'	'Dylan0126'	'200.127.91.20')
('a705cd1b-ba7b-4b23-9663-725605dad293'	'Ptedx'	'217.64.43.98')
('a706fbb0-316b-48fe-889e-5bf5b0ef8252'	'bLackening'	'71.51.48.201')
('a70c9634-b85e-4a14-9f1e-3407d4c998f7'	'Lijpo'	'47.188.76.117')
('a70cdd7a-0a2f-4350-be72-227d5ba5f4c2'	'wildkidxd2'	'104.63.94.163')
('a70d9347-0b3f-4e98-99b8-50487cc0cca7'	'RnB'	'2.97.123.55')
('a713cbee-3393-453d-baf7-960be2721b06'	'Azeriio'	'213.149.51.218')
('a714b960-f4b9-4a1c-869e-e881f74fcbb5'	'PolarBearGang'	'68.129.94.141')
('a715b88a-09b6-4f68-a165-0d21c1a1e99c'	'Digger1001'	'81.154.113.21')
('a71a8d5c-ddbd-49f8-bca7-8f98363af9f8'	'Fucubez'	'92.60.194.167')
('a71d0d86-c96f-46e1-93d6-b1fe0dbf28f9'	'Searlohn'	'31.201.14.211')
('a71e1c5b-b53a-4841-85b7-aba2734b8299'	'Ninjazx_cz'	'188.175.18.235')
('a71ebe5b-9037-4d62-83c1-5afbe401c9bb'	'Whould'	'73.231.179.215')
('a71eec0c-8b9c-4ecc-929b-a5f334829d38'	'Gamegeld'	'92.142.159.226')
('a71fc3cd-a31f-419f-b833-653760391057'	'Brackaboys'	'62.195.223.99')
('a7212f86-7670-412c-8854-80d87b4e3e65'	'BigBootyBitches'	'76.67.182.17')
('a7220505-1758-4c87-bee3-f320e7064cf1'	'NosYous'	'79.25.201.117')
('a722da19-5977-42de-8c3c-f4765fe0a587'	'Steffaniee'	'87.97.198.55')
('a7245f97-3aa0-4968-87a2-f9a5d490593d'	'2Dumb'	'88.113.168.245')
('a727729e-5f19-41d3-bb84-1ac01312f88b'	'K1llsh0t16'	'97.88.11.48')
('a7281f9b-12ef-4c2e-9392-09986941a8c3'	'MaciejLubicz216_'	'82.0.27.34')
('a729a23c-29d3-4d57-b110-3e0acdfe6857'	'WolfQueen77'	'73.254.55.67')
('a729ef86-895d-40cb-9c1d-3a3d57e6986f'	'3T00'	'90.225.248.168')
('a72b7d6c-e709-457f-92f0-caf946721e6a'	'PainfulPvPShirt'	'99.117.41.38')
('a72c31d8-1788-4274-afff-124b228c5309'	'ReyizhanBabaa'	'121.222.54.211')
('a72ea596-1f24-4ad3-8525-89b8b284a538'	'WhisperGames'	'79.66.172.211')
('a72fe4b2-adcd-4bec-a45f-eecf8cd9982d'	'uxm'	'124.171.82.71')
('a72fe94f-1d92-4911-bafa-f394bb67416e'	'EQUIDSISAGOD'	'76.122.160.225')
('a73287f9-3a51-4f22-851b-a565d7874661'	'Tylarr'	'71.205.200.11')
('a7357356-8dc2-4413-82e9-c5ce3fb58d05'	'darkelfirs'	'86.45.76.197')
('a736ad38-8009-47db-9cf8-c379d74e1fa6'	'Nownings'	'173.95.186.52')
('a739dcde-a25d-43d2-a564-de2aec3ee13e'	'RichChiggaz'	'162.193.217.118')
('a73c0fbb-1816-4ddf-bead-1f91bd620d5e'	'FlyingFairyG'	'181.63.218.101')
('a73e5c31-e49d-4838-8a3f-862e99cb01bb'	'Secure_Prince_YT'	'45.17.247.60')
('a73f6730-d413-4892-ab01-0188b48d6516'	'Glooooooority'	'88.168.98.6')
('a7429cba-c251-45b6-845e-0ece7f36f7c1'	'herosss29'	'217.63.195.3')
('a743a1d9-f036-4025-acda-66639bfe31be'	'Digg3l3k'	'213.156.123.71')
('a745818e-9beb-4882-9d71-22feaabd4d16'	'CraftMinion13'	'99.198.184.54')
('a7479e11-6780-4103-9992-7789a116f6f2'	'Astonishinq'	'65.131.146.123')
('a747b3e4-465b-442c-a6cf-8ed9d830fdac'	'NINJAHAWK07'	'50.72.2.63')
('a74a3534-551c-4735-9782-ff18197301cb'	'Kewkky'	'109.127.34.156')
('a74a69e1-466b-40f6-9cb7-d1c76728d9c9'	'Blakeslashv2'	'68.202.171.249')
('a74b3ec9-59a3-428f-b1bd-3424b8ca681d'	'Grunting'	'99.250.200.72')
('a74ceb30-ed00-475c-97d2-87c2d7ab5a1b'	'DragonKingMe2'	'202.188.58.68')
('a74d03a3-41b2-4d04-900e-6c94b32c1871'	'IVIason'	'90.209.158.14')
('a74de8c3-4f2f-4608-8e24-d59e813a3ea3'	'Keychains'	'95.151.27.211')
('a74e7587-6a9f-4b71-9796-38c214189e87'	'ogleo'	'24.167.243.252')
('a7504ed3-db15-4b71-8459-8f29f2e67982'	'DerpyDuck123'	'179.51.61.64')
('a751d189-e6c4-41f7-9d0d-35a2f1685540'	'Acceptability'	'50.190.168.60')
('a7523797-534d-4acc-832a-04e5554bbed6'	'MrMeowMeow'	'66.58.220.154')
('a753a9a7-1522-4b81-aa2b-c879d0771632'	'Gloriya'	'99.250.244.34')
('a7543848-2ac7-46a4-8f12-307c5e2ae83d'	'Nominations'	'98.167.74.226')
('a7550c2f-d3d8-43e5-9c0c-158f39d0d1d6'	'KenMaster03'	'107.92.61.216')
('a757c81d-022f-485e-9f59-a3cff5b795d3'	'Kongii'	'190.24.57.184')
('a758c107-a04c-46b0-8ba9-a05db63d4171'	'Jennay'	'91.152.128.169')
('a759a6d3-5427-4377-a8c3-1f20e2e63d7b'	'pcefgt'	'104.59.68.48')
('a75b5dff-5b80-4ae4-8db6-711582a77cc0'	'22cmALAHCHICHA'	'78.251.42.18')
('a75d81b4-0147-4c4e-9bb0-352a776f1e23'	'Ninja_Champ368'	'119.24.73.67')
('a75e06ae-c0d9-4fd9-873a-bb69ab61c8dc'	'Fxvzy_Playz'	'79.65.137.178')
('a761dcfb-bfce-4247-a92d-8d31a76ce369'	'Unknown_Virus'	'71.90.209.101')
('a76cb563-3fba-4d6c-abca-1cc5b05bf666'	'xXPizzaGamerXx'	'71.207.193.231')
('a76f994d-0287-43f7-81df-b364bd632c3d'	'Darckour'	'108.212.113.214')
('a77151cc-5932-492c-983e-b32e9b47d35e'	'Lusy'	'99.172.72.116')
('a7718666-5fd1-4e2a-a834-e3894f555757'	'Scope_Artic'	'68.48.230.69')
('a7730ba6-6146-4cf9-b59c-0ccbb66776aa'	'White'	'108.41.160.48')
('a7779691-a022-4a74-9973-7bed0f69b8b5'	'Xiqey'	'162.195.228.232')
('a77d6eae-e5dc-405d-b50b-6e97d3ff0d7c'	'Famalams'	'2.126.58.239')
('a77e2ff3-69a4-4ba6-bb2c-c437a0ef49a5'	'RoccoSiffredi97'	'2.235.101.86')
('a7804276-f491-4fa8-bdf5-792873ec54d7'	'Mosypecoco'	'89.23.70.83')
('a782aeef-1a00-43bd-a690-39d6db81dc6d'	'izabunny'	'80.189.222.57')
('a7859520-3f39-4444-9bc3-e2779a5f6e42'	'LittleTJunior'	'86.182.141.94')
('a785ed72-e645-43bb-ab4a-a5d74f877e60'	'Crimzoh'	'177.237.7.248')
('a7900b9e-1ac8-49b0-b927-3dde1be76dee'	'CrimoJS'	'176.147.185.162')
('a7915cdc-476d-4e6e-ac3b-26b600a35d0f'	'ScienceLegend'	'108.83.9.54')
('a795b73f-5fc0-433c-8ed8-3581df92c840'	'SSykz'	'68.109.2.1')
('a79b4371-92ed-4247-b1fc-a9937f782d11'	'milesm2k'	'107.216.141.164')
('a79bbc4e-bf25-4665-8db5-5e24a434ee04'	'BasedGodd'	'107.137.90.45')
('a79bc008-e70d-4bca-8b83-236b0e8acdac'	'GodlyCPS'	'47.16.219.87')
('a79e0b1e-7668-4248-80e8-dd12e59d7cc3'	'kesalex'	'88.201.84.7')
('a79f4c7d-5df9-4eee-b541-a30e0ed3eb7d'	'8Pack'	'90.216.177.252')
('a7a134ad-7970-4d44-88b9-1fe8efbd7439'	'Greeenay'	'5.81.120.30')
('a7a2b4ec-3cce-4732-8db0-7095fe9f745b'	'Hazelmom82'	'71.201.207.199')
('a7a5c616-edd2-47e3-9f63-13e36032cf8f'	'RizalAzlam'	'77.243.189.244')
('a7ab156b-c12a-409e-be78-f16b1e5d7ba3'	'Joshbosh808'	'66.75.108.227')
('a7aea5b7-2504-4353-94ce-36ea47612b65'	'Sencai'	'107.217.213.72')
('a7b0b282-6228-445a-9ccf-cc5e993a4988'	'TITANKiller38'	'72.176.37.116')
('a7b290a3-bde4-47a2-bf14-29acdfed9e8b'	'CALDARYUS'	'81.105.190.137')
('a7b3aaec-5e0d-4ce8-90ef-b40fefe7da39'	'StimpyRat'	'190.45.249.41')
('a7b5e62b-407a-4e38-b2d6-2923ce61b5a0'	'FaiL_'	'51.171.1.44')
('a7b99475-427d-4640-970c-91617311964b'	'iSyntra'	'99.8.45.166')
('a7b99c79-f4ec-4b09-9276-21b7eb993567'	'snisnu'	'91.159.59.146')
('a7b9aa39-77de-4ff0-8365-02e79672aef7'	'Obey_XaShToNMC'	'181.188.125.142')
('a7ba523f-d93f-4612-bfa4-20606dfba49f'	'HellaShady_'	'173.95.186.52')
('a7ba6db7-eb83-4e24-9acc-53dc10616953'	'iTz_FrZe'	'178.199.198.231')
('a7bb6835-a09b-4a3d-bffe-96552a395e8c'	'SirChanny'	'123.211.131.237')
('a7bda1b1-ff2b-4081-96a4-0bc751942949'	'adzb13'	'2.25.232.182')
('a7be45ed-6a9c-43f6-aa5f-b622204bb20f'	'Utgaardsloke'	'151.229.64.183')
('a7bf47fb-3128-4f1f-a1f8-a61630f8858a'	'Sr_Nacho_eZ'	'186.133.35.84')
('a7c08cce-4191-46b4-86f1-30be723900f6'	'WHEATLEY17Gamer'	'82.26.32.156')
('a7c1939b-8684-4789-875e-9fba2a23ff46'	'LauritsSH'	'178.157.249.158')
('a7c70a42-4c74-47fc-a7a4-b4017676eec4'	'Ote_'	'108.250.56.190')
('a7c7bdb6-afa1-4a60-9ac9-61c275d306c4'	'Vexxxum'	'24.16.2.157')
('a7c83bca-b76c-48af-81ba-1ca270eb44d5'	'JustFreed'	'46.11.82.41')
('a7cc98b2-833e-47c3-8c49-1279438d5870'	'Ateohoh'	'172.56.22.116')
('a7d22871-904e-45c5-839a-3c817d9b5e25'	'iCellarHD'	'49.149.167.149')
('a7d354b5-bdb3-4ba7-87f5-2a041eeeaf8c'	'VIYANA'	'76.124.225.107')
('a7d3a8f8-51bb-4eba-9228-645b30351793'	'ItsScottOG'	'51.37.234.197')
('a7d443e0-dc12-40ed-80fa-8fa1192b7969'	'wolfpvpyt'	'68.196.89.154')
('a7d52949-13cf-4cb0-a73d-288cbdbfead7'	'xroland'	'84.80.227.247')
('a7d5d4d9-2b5d-4246-88be-1fe0a206df97'	'Togashi'	'99.254.120.161')
('a7d76423-ee6a-4afd-bbb1-899913ee4250'	'DustinPlaysMC'	'94.193.122.91')
('a7d85920-d583-467f-94b9-5c6c7f3b9c30'	'Amazon_Shopping'	'98.246.165.240')
('a7dae472-77bb-4f43-9e65-5587cb095b66'	'VapiaczeG'	'62.61.50.164')
('a7db3e81-c8a0-4d6b-b91c-b80d49034950'	'Cruel'	'162.229.241.40')
('a7db9c65-df6f-4a6a-90f8-161ac650d765'	'Blake125521'	'78.2.198.110')
('a7dcbb1d-40ee-48ec-9bdc-148d2c1e49ad'	'MuskaSamKurva'	'109.175.76.74')
('a7dd899e-997f-4586-aa59-e303a306e6a2'	'xRoyalGiant'	'82.81.106.81')
('a7ddae24-5c44-4a23-ae65-840532f880b3'	'JulioKelle'	'218.238.71.196')
('a7e528d4-b6fb-4457-8894-1cd2680e18df'	'Godzillant'	'104.178.97.13')
('a7e54b92-aa63-4bcd-8203-db344ff74271'	'ItzSaid'	'31.49.87.212')
('a7eb718a-a29e-4829-9c4a-418856d1a97e'	'Zoomer200'	'58.111.136.221')
('a7ec5ba0-bbb3-416b-8588-9ac80b7939d4'	'FactionsFox'	'76.95.64.14')
('a7eec5a8-8a78-4af6-bf9b-3e19b2003b03'	'FCBbbva'	'24.183.69.146')
('a7efb336-b3d4-4ff0-8228-fad2de7f6d4a'	'Adventist'	'73.188.1.14')
('a7efd28b-c3b5-4a9c-9422-1d65524698ad'	'ejy'	'66.206.224.51')
('a7f0b96d-d126-474f-8bc0-07237ee2520f'	'blv300'	'2.0.12.188')
('a7f47d17-45fb-42bb-bf9c-f5dc47182f83'	'BabyGravyTrain'	'104.12.125.204')
('a7f4a7eb-c6d6-4a81-93bd-426adaf4a1e5'	'ShadowSniperGUY'	'75.130.178.166')
('a7f4f495-1ccf-4d91-ae3a-d7a8f7ffb0ff'	'Profited'	'173.22.250.227')
('a7f51494-e4ff-4fc4-8f80-900ecbe17bb1'	'Eyobik'	'78.240.45.21')
('a7f6d7f9-f5cd-4bfd-acf7-4ecd74e886a7'	'Diirewolf20'	'217.120.202.172')
('a7fae66d-3e97-4046-8586-80a93d8653d4'	'GANGMEMBARGOGO'	'212.104.122.217')
('a7fefecf-2421-4ded-9f6f-1c210739474a'	'_TATUMTOTS_'	'151.227.59.188')
('a7ff663e-da3f-494a-8434-5ab42011a61d'	'ndonadio1212'	'67.82.73.2')
('a7ff6cbd-9fdc-410f-85d6-e6e23d8d5d15'	'DevilPlayer'	'73.205.228.113')
('a803a118-365d-4962-ba47-ae65492a7fd5'	'Swaiz'	'86.199.90.185')
('a80765a3-9e1d-4246-8628-88bf386bba9b'	'MaxTVChannel'	'5.94.46.237')
('a809cba2-63da-46bd-b828-eb7c55b08449'	'Cop_Cat'	'50.101.248.229')
('a80cd6e5-8534-44de-a095-00cf400b2c84'	'_Alphax_'	'64.83.167.117')
('a80dcd1e-acda-4b34-af0e-f4a796044dc3'	'ProceGivesLs'	'173.206.21.211')
('a80e6b15-2f6d-4a75-ae04-f9bfa248ff3b'	'Nexusgami'	'173.90.105.68')
('a8116b29-7905-4ed1-9ce0-f5eccf780685'	'CheekyMonkeyBoy'	'209.195.86.73')
('a811d1ac-4d79-4f57-a44b-c9aeca1c4a80'	'notdzac'	'73.92.166.98')
('a8146f94-2a5f-49ac-8099-ddc735e1622d'	'SSMeBruhh'	'68.204.164.131')
('a814f26f-c3bd-436a-93d3-e42ff7143a5a'	'fmnoor'	'79.52.230.230')
('a81be3c9-c612-4b72-ab25-b27a9316a77d'	'glockster45'	'2.217.48.7')
('a81c63b5-c1fc-48f0-b15c-c8103bbd27ca'	'Adams_Assassin'	'47.200.187.231')
('a81e95e0-c1a4-4b31-b4e7-6123606acde8'	'ICannotSee'	'72.190.100.232')
('a81fe5aa-5f14-475d-b047-49a8fa2190d4'	'Lazar2909'	'24.135.18.116')
('a8209c31-04ae-4c72-b4e9-e26566954d6a'	'Aidless'	'173.224.28.190')
('a823a1c1-f388-4d27-91dc-fbcfdef539f8'	'XxAmeen7861xX'	'188.176.5.102')
('a824cd98-9c2a-44e2-820b-4f0a8b81c45c'	'_ToggleAura_'	'86.92.194.84')
('a82504ec-967b-4a61-bfca-99afffd831f8'	'NoAction'	'73.197.242.218')
('a8294fbf-eec5-41e0-a5cb-b85a28936b71'	'unexclusive'	'68.187.120.119')
('a82e4179-b033-48d0-8dda-06590d636aef'	'Jorgiinho01'	'213.37.219.56')
('a830ea83-2b89-426b-a140-ad2001626b4d'	'Streetsigns'	'65.31.176.29')
('a831452b-4837-4334-9cc8-eea6840cccc8'	'skurrt'	'77.170.89.122')
('a832ec9a-92cf-444c-8322-6f0f0dfb15b6'	'Dehka_'	'90.127.171.2')
('a838f8fc-552d-4594-ad1c-6c7fd0f00777'	'BanMeBud'	'50.162.184.101')
('a83b7bbb-10e0-4b11-9e1b-b933ba5ad406'	'Wefill'	'65.95.36.178')
('a83c2948-ba16-43a6-9625-c48b0c261782'	'agentbryanxe'	'69.113.190.104')
('a83cd2a0-fb82-4863-9b07-4a12dcdc75e8'	'InstaDm'	'73.226.187.177')
('a83cea2b-d979-41c3-837d-4017631d3467'	'FacebookTimeline'	'99.115.19.125')
('a83d087b-0536-4172-b47c-93e4c822ba38'	'poe_dude'	'68.0.153.210')
('a83eb331-3a68-4d71-90e0-5a576b6bb06d'	'btrumble'	'90.216.243.98')
('a83f7ea1-c682-472b-ab71-d1fce1208b97'	'Almnasty'	'190.163.156.35')
('a84019c5-54b6-433c-a61a-df331031f706'	'DarkNesS_KillerZ'	'109.92.148.106')
('a8413b27-3ff5-40ef-9bdf-d593351213ad'	'vfahvuh'	'82.9.203.27')
('a8423594-4b4a-4997-9854-bbaa0076536b'	'ZioZen'	'51.179.107.2')
('a8436da3-469f-4cf7-9b93-8d6860825373'	'JadeKnight313'	'24.117.209.125')
('a843980f-ced7-4663-88f4-6c7b5f65f6aa'	'o_OSharpNezzO_o'	'189.237.149.119')
('a844295d-5b09-4f03-bb07-330f5e19a0ea'	'ChristyMisty_YT'	'2.85.44.8')
('a845bd85-20a2-401c-9ff6-320b5b6d3b80'	'Eriksen_HD'	'162.231.235.75')
('a846fbda-bdaa-4326-897f-4e0009ce668c'	'Missionary'	'97.124.70.199')
('a84cabeb-faec-427a-a07a-60278539789f'	'CheefKeef'	'82.45.123.143')
('a84d2859-b835-4126-a694-eceb3c540385'	'MOB212'	'72.190.145.125')
('a84d786c-10c9-4a05-92b3-f42805d4026f'	'nsdklfnhji0'	'173.169.96.42')
('a84e5b7b-6b0b-443e-be49-baa45972e9f9'	'Hillaray'	'98.150.145.74')
('a84f0f27-d710-4537-997e-853aabad0e21'	'Eyberg'	'89.160.187.182')
('a851959e-aaa1-428b-8e6f-099b235679d5'	'JordanShoes'	'162.207.146.48')
('a851e128-bacb-45f4-9e95-0436aa46c7f8'	'Gawn'	'66.229.98.38')
('a856ea8e-8efc-4160-b1cf-2925fca86bd9'	'woejoe77'	'86.81.245.30')
('a8574105-3bf7-42a1-a398-271fd22cf6ea'	'SiloxPRO'	'87.67.41.203')
('a8585f4e-0670-4e68-b170-f1d6c4f339b4'	'MalvadixElsi'	'151.77.124.206')
('a85ac992-cb57-4fbf-a860-9e63811d1b37'	'Hydro_PvP'	'42.60.62.113')
('a8612894-e283-41a5-bf8a-d7f63537f98b'	'scarter215'	'73.128.61.240')
('a8664ec4-03c5-4f62-af91-2b548ddf1d41'	'oTimid'	'78.83.125.192')
('a866d68e-ac4d-4b6c-a40e-ec2c537f2ec1'	'iSauceyy'	'45.18.191.83')
('a866e9d9-4ef2-4608-b12c-f69918a02ab4'	'ReachFrom9Blocks'	'191.113.197.41')
('a867350e-2f31-4b47-b9cd-4cd4b13e4bdd'	'titn'	'108.11.21.91')
('a8674c72-8b40-4b71-bb38-f29460b2f558'	'hulu'	'23.242.151.192')
('a8685795-253f-44d7-b45e-063c1da0f35a'	'BlackGranny'	'51.7.152.211')
('a8685a04-2f33-44e5-8ec2-e57893db800a'	'iMock'	'47.199.155.118')
('a86a17d7-a67a-4e15-9118-28b6174d7f2f'	'VapeLordJake'	'71.85.201.106')
('a86bcd80-a613-4a1b-a5dc-989af92f09b3'	'CUKI3'	'176.26.49.252')
('a86c8300-8a83-45dd-b872-954312c56c40'	'AsaaTeAsustaste'	'200.90.185.34')
('a86cc8f0-f70f-4d24-a9af-9ef1c935bf57'	'ThisNameIsFree'	'75.65.188.131')
('a87033d7-d1a2-4ad2-87dd-1110762b0bc2'	'Testiculo'	'186.79.235.156')
('a876751e-6b95-4f16-b184-8bdf015172b2'	'TheXeedex'	'74.138.209.221')
('a87ac12b-a52d-40fd-835d-ff6c28c6e717'	'Met1s_HD'	'89.173.156.81')
('a87bc802-0c7e-4c0e-9411-8256fec6af4f'	'Zogick'	'121.222.54.211')
('a87e2944-725a-4294-9f54-b81b3eb5c22f'	'Deteriorate'	'50.161.7.219')
('a8807578-313f-46f5-bb20-44e9d3026503'	'GrabTheL'	'94.11.234.212')
('a88086f1-6d78-42f0-b99a-b30939b5e550'	'SkillYt'	'203.221.33.94')
('a8809b83-0e5f-4726-a6fe-01c440d358d2'	'oBuckwild'	'204.195.179.93')
('a8812297-7d83-4c20-8e7b-1107a5c7d3b4'	'SlapOnTheAss'	'97.87.37.60')
('a881ffe2-4993-427b-9c2a-1a3867e095cd'	'CrucifiedPvP'	'109.247.216.132')
('a882ebc8-f789-46e0-bd23-1c47d4c4bd38'	'LaNoixDechirer'	'93.22.57.241')
('a8841f56-0408-4c0d-be91-9308a5c4c9bf'	'Taylorg95'	'24.254.197.169')
('a8844c69-4196-4b9d-9000-ee5b666d87b1'	'ImSandox'	'179.40.35.244')
('a8876b5f-b1b4-46c2-9490-5510d816597e'	'aznboy8378'	'99.6.29.68')
('a8883a57-4492-4e94-8c70-e5e2f0ac6a60'	'loir'	'94.67.153.5')
('a888444a-413a-4c98-9d95-ea91afa13696'	'letmebeyourmom'	'66.91.81.126')
('a889a067-2b73-4827-b64a-697160ca31cc'	'VirTuZo'	'67.223.153.28')
('a88bc9e6-9490-4848-a638-ea493dcc5e7e'	'Arbey'	'24.78.33.120')
('a88f7f06-f0c0-4c25-b867-a6561de3dcba'	'Gexoh'	'77.98.92.183')
('a88fde1d-7544-4c44-80fa-cf79fc522205'	'Greezezey'	'50.186.99.139')
('a8920e8a-71a7-49e8-807e-bfe1e35cb76a'	'CORNFIELDS'	'24.1.121.244')
('a8923fb9-7a04-4748-a59f-5910518a5ea1'	'OGAccountName'	'70.252.9.153')
('a8925990-881b-40a2-9e65-def71dd531f3'	'Slywinz'	'179.7.99.207')
('a8960c7a-0de8-4fb3-8ffd-25ca9916ae19'	'MonsterOfSaints'	'213.149.51.121')
('a897ba9c-b9f2-4b70-956a-88e97356f176'	'sophiehehe'	'190.246.32.180')
('a899388c-eed8-4e2a-9713-31d18f36d8de'	'localgamerz'	'23.28.215.108')
('a89be3ed-a313-4947-8e33-df1e7432d507'	'Khung'	'99.61.164.55')
('a89cd4dd-419f-4529-9bf6-c956abee10c9'	'tordex87'	'83.49.131.0')
('a89ebdf7-d0e0-486f-93cf-520a0d600a10'	'HyDr0KT'	'67.180.61.77')
('a8a1c6f6-f8ff-48a5-8f37-69d7e0e0f78e'	'wotsisname'	'96.51.159.206')
('a8a8c108-4b98-40b5-916c-7a920ade83ea'	'EnderBlasT'	'98.167.250.45')
('a8acd4cc-be6b-4824-8f85-78c293c343a4'	'Spitro'	'72.183.14.92')
('a8aeeed9-293a-4c43-9ff2-e9844a6234bd'	'AmericanIdiot21'	'71.95.53.133')
('a8af5445-00d4-415a-b49d-9d6622c995f4'	'p001'	'71.53.2.103')
('a8b2902d-8d32-432a-95b8-08d556116541'	'Pharoso'	'73.93.155.39')
('a8b79ea4-b1ec-4d6a-b98b-06ce6186347b'	'_Magnet_'	'128.177.161.182')
('a8b7e85b-fca4-4f3f-ba09-68fbdbd44169'	'Trappinq_'	'47.152.141.44')
('a8bab061-ce99-4829-a94c-098488ec7532'	'sm0king'	'85.210.127.208')
('a8bd0ce4-1da0-4074-8d58-104f3ae65119'	'jacksparrow1153'	'188.129.65.223')
('a8c3775a-9e03-4eeb-a921-6f08eba94c1f'	'Killbone'	'24.15.57.195')
('a8c4d8bd-6b16-48eb-9b0f-36bb13fb08cc'	'AssassinOfMC'	'104.139.21.149')
('a8c5f98c-149d-4912-b9fd-f76e4e40eec8'	'Vecel'	'82.44.38.215')
('a8c65bde-3d60-446f-bf9d-80456c7f04e9'	'docchopperman'	'174.102.236.6')
('a8c71197-3927-4cfa-8a8e-cbf3d89775ec'	'Nylex'	'123.243.52.75')
